curso;nombre del curso;bloque;método;páginas (edita esta columna);de qué va el bloque
1;El pentagrama, las dos claves y el teclado;Práctica a manos separadas;Hervé y Pouillard, Méthode de piano débutants;Presentación págs. 4-6 y cap. I pág. 8;Cómo sentarse al piano, la numeración de los dedos y las primeras melodías a 2 dedos.
1;El pentagrama, las dos claves y el teclado;;Chornet, Ejercicios, estudios y obras para piano;pág. 11;
1;El pentagrama, las dos claves y el teclado;;Michael Aaron, curso para piano, grado 1;págs. 6-7;
2;Las figuras y los cinco dedos;Primeras melodías a manos separadas;Hervé y Pouillard, Méthode de piano débutants;cap. I págs. 11-14;Melodías a 3, 4 y 5 dedos, cada mano por separado y ya con negras.
2;Las figuras y los cinco dedos;;Chornet, Ejercicios, estudios y obras para piano;págs. 12-13;
2;Las figuras y los cinco dedos;;Michael Aaron, curso para piano, grado 1;págs. 8-10;
3;Manos juntas al unísono;Práctica a manos juntas, al unísono;Hervé y Pouillard, Méthode de piano débutants;cap. II págs. 16-19;Las dos manos tocan lo mismo a la vez, separadas por una octava, y aparecen las primeras ligaduras.
3;Manos juntas al unísono;;Chornet, Ejercicios, estudios y obras para piano;págs. 17-21, manos juntas al unísono;
3;Manos juntas al unísono;;Michael Aaron, curso para piano, grado 1;págs. 17-18;
4;Los silencios y las manos alternadas;Ganando independencia: manos alternadas;Hervé y Pouillard, Méthode de piano débutants;cap. II págs. 20-22;Las manos dejan de ir al unísono: se van pasando la melodía sobre el sistema de dos pentagramas.
4;Los silencios y las manos alternadas;;Chornet, Ejercicios, estudios y obras para piano;págs. 14-16, manos alternadas;
4;Los silencios y las manos alternadas;;Michael Aaron, curso para piano, grado 1;pág. 13, los silencios y la nueva posición de la mano izquierda;
5;La corchea y su silencio;Ganando independencia: dedos libres;Hervé y Pouillard, Méthode de piano débutants;cap. III págs. 26-27;Cada mano hace algo distinto sin arrastrar a la otra, y dentro de cada mano unos dedos tocan mientras los demás se quedan quietos.
5;La corchea y su silencio;;Chornet, Ejercicios, estudios y obras para piano;págs. 22-25, dedos libres;
5;La corchea y su silencio;;Michael Aaron, curso para piano, grado 1;pág. 26, las corcheas, y pág. 31, estudios de notas dobles;
6;Sostenidos y bemoles;Las alteraciones;Hervé y Pouillard, Méthode de piano débutants;cap. III págs. 28-31;El tono y el semitono, los tres signos que alteran una nota, y las primeras piezas que salen de la posición de do.
6;Sostenidos y bemoles;;Michael Aaron, curso para piano, grado 1;págs. 20-22, el medio tono, el sostenido, el bemol y el becuadro;
6;Sostenidos y bemoles;Repertorio;Essential Piano Repertoire, Preparatory Level (Keith Snell);Bagpipe (anónimo, s. XVII), pág. 4;La primera pieza de repertorio de verdad: una danza antigua, corta y en posición fija.
7;Las tonalidades;Las tonalidades y sus armaduras;Hervé y Pouillard, Méthode de piano débutants;cap. V págs. 44-47;Las primeras piezas que no están en do mayor, con su armadura al principio de cada pentagrama.
7;Las tonalidades;;Michael Aaron, curso para piano, grado 1;pág. 22, el patrón de la escala mayor, y pág. 23, Study in G;
7;Las tonalidades;Repertorio;Essential Piano Repertoire, Preparatory Level (Keith Snell);Old German Dance (Praetorius), pág. 5;Una danza antigua, corta y en posición fija: lo primero es mirar su armadura.
8;Los acordes y la escala;Los acordes y las escalas;Hervé y Pouillard, Méthode de piano débutants;cap. IV págs. 34-35 y 38, y cap. V págs. 51-52;Las tríadas de do, fa y sol, el paso del pulgar con sus preparatorios —antes que la escala entera— y la escala completa, con la tabla de digitaciones del Aaron para consultarla.
8;Los acordes y la escala;;Chornet, Ejercicios, estudios y obras para piano;págs. 26-28, primeros acordes, y págs. 43-46, preparatorios y escalas;
8;Los acordes y la escala;;Michael Aaron, curso para piano, grado 1;págs. 33-34 y 36, tríadas, y págs. 51, 53 y 61-62, escalas;
8;Los acordes y la escala;Repertorio;Essential Piano Repertoire, Preparatory Level (Keith Snell);Two Marches (Türk), pág. 6, y March in F (Türk), pág. 7;Dos marchas clásicas: pulso firme, frases de cuatro compases y manos que ya no van al unísono.
9;Las semicorcheas y su silencio;Legato, staccato y matices;Hervé y Pouillard, Méthode de piano débutants;cap. VII págs. 64-68;Los dos ataques básicos, ligado y picado, y las primeras indicaciones de matiz sobre estudios cortos.
9;Las semicorcheas y su silencio;;Chornet, Ejercicios, estudios y obras para piano;págs. 29-32, legato y staccato, y págs. 33-36, Czerny op. 599 nº 1-8;
9;Las semicorcheas y su silencio;;Michael Aaron, curso para piano, grado 1;pág. 27, la tabla de matices, y pág. 38, Study in Staccato;
9;Las semicorcheas y su silencio;Repertorio;Essential Piano Repertoire, Preparatory Level (Keith Snell);March in G (Türk), pág. 7, y Minuet (Reinagle), pág. 8;Un minueto clásico en 3/4: el mismo compás del curso 3, ahora dentro de una pieza.
10;El puntillo y la ligadura;El puntillo y las ligaduras;Hervé y Pouillard, Méthode de piano débutants;cap. VI págs. 54-62;Las dos maneras de alargar una nota, sobre piezas donde ya no todas las figuras duran lo mismo.
10;El puntillo y la ligadura;;Chornet, Ejercicios, estudios y obras para piano;págs. 37-38, Czerny op. 139;
10;El puntillo y la ligadura;;Michael Aaron, curso para piano, grado 1;pág. 15, ligaduras, y pág. 30, negras con puntillo;
10;El puntillo y la ligadura;Repertorio;Essential Piano Repertoire, Preparatory Level (Keith Snell);Promenade (Reinagle), pág. 9;Una pieza con las dos manos independientes, donde la izquierda sostiene notas largas mientras la derecha se mueve.
11;Compases binarios y ternarios;Compases nuevos;Hervé y Pouillard, Méthode de piano débutants;cap. VII págs. 70-76;Piezas fuera del 4/4, donde el compás se cuenta de otra manera y el acento cae en otro sitio.
11;Compases binarios y ternarios;;Chornet, Ejercicios, estudios y obras para piano;págs. 33-36, Czerny op. 599 nº 1-8;
11;Compases binarios y ternarios;;Michael Aaron, curso para piano, grado 1;págs. 37 y 39, compás nuevo y Dance of the Wooden Shoes;
11;Compases binarios y ternarios;Repertorio;Essential Piano Repertoire, Preparatory Level (Keith Snell);Sonatina (Wilton): I. Allegro moderato, pág. 10, y II. Minuet, pág. 11;La pieza que cierra el nivel: una sonatina en dos movimientos, con las dos manos independientes y acordes en la izquierda. El minueto es el que tocarás delante de alguien.
